number,incident_state,active,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,reassignment_required
INC0000135,Active,True,0,7,True,Caller 5331,Opened by  40,29/2/2016 09:45,Created by 62,29/2/2016 07:46,Updated by 653,29/2/2016 09:27,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 32,29/2/2016 16:17,5/3/2016 17:00,0
INC0000137,New,True,0,1,True,Caller 899,Opened by  24,29/2/2016 09:48,Created by 13,29/2/2016 08:18,Updated by 60,29/2/2016 09:52,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,29/2/2016 11:03,5/3/2016 12:00,0
INC0000139,New,True,0,0,True,Caller 3284,Opened by  131,29/2/2016 09:50,Created by 62,29/2/2016 10:16,Updated by 265,29/2/2016 10:16,Phone,Location 204,Category 53,Subcategory 303,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 208,1/3/2016 09:56,6/3/2016 10:00,1
INC0000140,Active,True,0,0,True,Caller 3868,Opened by  180,29/2/2016 09:51,Created by 81,29/2/2016 09:54,Updated by 340,29/2/2016 09:54,Phone,Location 79,Category 9,Subcategory 164,Symptom 509,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 94,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 113,3/3/2016 11:59,8/3/2016 12:00,1
INC0000141,Active,True,0,0,True,Caller 72,Opened by  40,29/2/2016 09:52,Created by 20,29/2/2016 09:54,Updated by 88,29/2/2016 09:54,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:58,7/3/2016 15:00,0
INC0000146,New,True,0,0,True,Caller 220,Opened by  24,29/2/2016 09:57,Created by 13,29/2/2016 10:02,Updated by 60,29/2/2016 10:02,Phone,Location 55,Category 53,Subcategory 194,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:59,7/3/2016 15:00,0
INC0000147,Active,True,0,0,True,Caller 926,Opened by  40,29/2/2016 10:00,Created by 20,29/2/2016 10:08,Updated by 88,29/2/2016 10:08,Phone,Location 179,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 125,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 113,14/3/2016 09:49,19/3/2016 10:00,1
INC0000148,New,True,0,0,True,Caller 4279,Opened by  501,29/2/2016 10:00,Created by 216,29/2/2016 10:04,Updated by 915,29/2/2016 10:04,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 1,Resolved by 208,2/3/2016 15:00,7/3/2016 16:00,0
INC0000149,New,True,0,0,True,Caller 4331,Opened by  62,29/2/2016 10:01,Created by 33,29/2/2016 10:06,Updated by 133,29/2/2016 10:06,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 15:01,7/3/2016 16:00,0
INC0000152,New,True,0,0,True,Caller 1913,Opened by  180,29/2/2016 10:08,Created by 81,29/2/2016 10:16,Updated by 340,29/2/2016 10:16,Phone,Location 51,Category 53,Subcategory 168,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,3/3/2016 09:23,8/3/2016 10:00,0
INC0000153,New,True,0,0,True,Caller 5150,Opened by  24,29/2/2016 10:10,Created by 13,29/2/2016 10:11,Updated by 60,29/2/2016 10:11,Phone,Location 108,Category 53,Subcategory 194,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:55,7/3/2016 15:00,0
INC0000155,New,True,0,0,True,Caller 278,Opened by  180,29/2/2016 10:12,Created by 81,29/2/2016 10:13,Updated by 340,29/2/2016 10:13,Phone,Location 171,Category 53,Subcategory 194,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 15:02,7/3/2016 16:00,0
INC0000156,New,True,0,0,True,Caller 2811,Opened by  501,29/2/2016 10:14,Created by 216,29/2/2016 10:18,Updated by 915,29/2/2016 10:18,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 15:02,7/3/2016 16:00,0
INC0000158,New,True,0,0,True,Caller 229,Opened by  301,29/2/2016 10:17,Created by 129,29/2/2016 10:37,Updated by 573,29/2/2016 10:37,Phone,Location 56,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 208,2/3/2016 15:06,7/3/2016 16:00,0
