opened_by,contact_type,location,category,subcategory,u_symptom,assignment_group,reassignment_required,opened_at_dt,opened_hour,opened_day_of_week,opened_month,opened_is_weekend,impact_encoded,urgency_encoded,priority_encoded
Opened by  131,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,Group 70,1,2016-02-29 08:39:00,8,0,2,0,1,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,Group 66,0,2016-02-29 08:39:00,8,0,2,0,1,1,1
Opened by  180,Phone,Location 161,Category 20,Subcategory 125,Symptom 470,Group 54,0,2016-02-29 08:41:00,8,0,2,0,2,2,2
Opened by  24,Phone,Location 93,Category 24,Subcategory 164,Symptom 471,Group 70,1,2016-02-29 08:43:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 69,Category 53,Subcategory 194,,Group 54,0,2016-02-29 08:47:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,Group 70,0,2016-02-29 08:48:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,Group 68,1,2016-02-29 08:51:00,8,0,2,0,2,1,1
Opened by  40,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,Group 27,1,2016-02-29 08:55:00,8,0,2,0,2,2,2
Opened by  131,Phone,Location 93,Category 61,Subcategory 164,Symptom 580,Group 70,0,2016-02-29 08:56:00,8,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 08:58:00,8,0,2,0,1,1,1
Opened by  24,Phone,Location 108,Category 20,Subcategory 125,Symptom 471,Group 70,1,2016-02-29 09:02:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 51,Category 24,Subcategory 164,Symptom 529,Group 70,1,2016-02-29 09:03:00,9,0,2,0,2,2,2
Opened by  40,Phone,Location 161,Category 53,Subcategory 271,Symptom 470,Group 54,0,2016-02-29 09:05:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 143,Category 42,Subcategory 224,Symptom 560,Group 65,0,2016-02-29 09:05:00,9,0,2,0,2,1,1
Opened by  131,Phone,Location 46,Category 37,Subcategory 135,Symptom 87,Group 70,1,2016-02-29 09:06:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 108,Category 53,Subcategory 194,,Group 54,0,2016-02-29 09:07:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 51,Category 26,Subcategory 175,Symptom 311,Group 70,1,2016-02-29 09:08:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 45,Subcategory 223,,Group 70,1,2016-02-29 09:10:00,9,0,2,0,2,2,2
Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,Group 54,0,2016-02-29 09:13:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 53,Subcategory 130,Symptom 470,Group 54,0,2016-02-29 09:14:00,9,0,2,0,2,2,2
Opened by  131,Phone,Location 93,Category 37,Subcategory 135,Symptom 87,Group 70,1,2016-02-29 09:15:00,9,0,2,0,2,2,2
Opened by  24,Phone,Location 204,Category 55,Subcategory 23,,Group 25,0,2016-02-29 09:18:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 161,Category 53,Subcategory 194,,Group 54,1,2016-02-29 09:18:00,9,0,2,0,2,2,2
Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 607,Group 70,1,2016-02-29 09:20:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 108,Category 37,Subcategory 135,Symptom 529,Group 27,1,2016-02-29 09:20:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 471,Group 24,0,2016-02-29 09:22:00,9,0,2,0,2,2,2
Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 471,Group 23,0,2016-02-29 09:25:00,9,0,2,0,2,2,2
Opened by  24,Phone,Location 44,Category 45,Subcategory 47,Symptom 159,Group 70,1,2016-02-29 09:27:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 108,Category 53,Subcategory 194,Symptom 470,Group 54,0,2016-02-29 09:29:00,9,0,2,0,2,2,2
Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,Group 33,0,2016-02-29 09:30:00,9,0,2,0,2,2,2
Opened by  131,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,Group 70,1,2016-02-29 09:31:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 09:31:00,9,0,2,0,2,2,2
Opened by  131,Phone,Location 36,Category 44,Subcategory 54,Symptom 4,Group 12,1,2016-02-29 09:36:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 229,Category 23,Subcategory 75,Symptom 4,Group 70,1,2016-02-29 09:40:00,9,0,2,0,2,2,2
Opened by  62,Phone,Location 204,Category 61,Subcategory 164,Symptom 470,Group 72,1,2016-02-29 09:41:00,9,0,2,0,2,2,2
Opened by  433,Phone,Location 15,Category 45,Subcategory 220,Symptom 580,Group 66,0,2016-02-29 09:41:00,9,0,2,0,2,2,2
Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 580,Group 70,1,2016-02-29 09:42:00,9,0,2,0,2,2,2
Opened by  501,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,Group 72,1,2016-02-29 09:44:00,9,0,2,0,1,1,1
Opened by  40,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,Group 70,0,2016-02-29 09:45:00,9,0,2,0,2,2,2
Opened by  24,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,Group 70,0,2016-02-29 09:48:00,9,0,2,0,2,2,2
Opened by  131,Phone,Location 204,Category 53,Subcategory 303,Symptom 4,Group 70,1,2016-02-29 09:50:00,9,0,2,0,2,2,2
Opened by  180,Phone,Location 79,Category 9,Subcategory 164,Symptom 509,Group 70,1,2016-02-29 09:51:00,9,0,2,0,2,2,2
Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,Group 54,0,2016-02-29 09:52:00,9,0,2,0,2,2,2
Opened by  24,Phone,Location 55,Category 53,Subcategory 194,Symptom 208,Group 54,0,2016-02-29 09:57:00,9,0,2,0,2,2,2
Opened by  40,Phone,Location 179,Category 53,Subcategory 271,Symptom 470,Group 27,1,2016-02-29 10:00:00,10,0,2,0,2,2,2
Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 10:00:00,10,0,2,0,2,2,2
Opened by  62,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 10:01:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 51,Category 53,Subcategory 168,Symptom 4,Group 30,0,2016-02-29 10:08:00,10,0,2,0,2,2,2
Opened by  24,Phone,Location 108,Category 53,Subcategory 194,Symptom 208,Group 54,0,2016-02-29 10:10:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 171,Category 53,Subcategory 194,,Group 54,0,2016-02-29 10:12:00,10,0,2,0,2,2,2
Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 10:14:00,10,0,2,0,2,2,2
Opened by  301,Phone,Location 56,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 10:17:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 143,Category 24,Subcategory 164,Symptom 571,Group 70,1,2016-02-29 10:17:00,10,0,2,0,2,2,2
Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,Group 70,0,2016-02-29 10:18:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,Group 70,1,2016-02-29 10:18:00,10,0,2,0,2,2,2
Opened by  131,Phone,Location 224,Category 32,Subcategory 9,Symptom 470,Group 70,1,2016-02-29 10:18:00,10,0,2,0,2,2,2
Opened by  501,Phone,Location 108,Category 9,Subcategory 164,Symptom 117,Group 27,0,2016-02-29 10:24:00,10,0,2,0,2,2,2
Opened by  24,Phone,Location 108,Category 20,Subcategory 125,,Group 70,0,2016-02-29 10:27:00,10,0,2,0,2,2,2
Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 7,Group 24,0,2016-02-29 10:27:00,10,0,2,0,2,2,2
Opened by  62,Phone,Location 108,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 10:30:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,Group 70,1,2016-02-29 10:33:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 224,Category 23,Subcategory 75,,Group 70,1,2016-02-29 10:36:00,10,0,2,0,2,2,2
Opened by  4,Phone,Location 131,Category 55,Subcategory 120,Symptom 568,Group 65,1,2016-02-29 10:36:00,10,0,2,0,1,2,1
Opened by  131,Phone,Location 51,Category 32,Subcategory 9,Symptom 580,Group 70,1,2016-02-29 10:39:00,10,0,2,0,2,2,2
Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 10:40:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 54,Category 20,Subcategory 103,Symptom 605,Group 70,0,2016-02-29 10:45:00,10,0,2,0,2,2,2
Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,Group 28,0,2016-02-29 10:46:00,10,0,2,0,2,2,2
Opened by  131,Phone,Location 143,Category 45,Subcategory 200,Symptom 4,Group 70,0,2016-02-29 10:58:00,10,0,2,0,2,2,2
Opened by  62,Phone,Location 204,Category 37,Subcategory 135,Symptom 118,Group 70,1,2016-02-29 10:59:00,10,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,Group 70,0,2016-02-29 10:59:00,10,0,2,0,2,2,2
Opened by  40,Phone,Location 136,Category 53,Subcategory 127,Symptom 470,Group 54,0,2016-02-29 11:00:00,11,0,2,0,2,2,2
Opened by  131,Phone,Location 108,Category 45,Subcategory 200,Symptom 609,Group 70,1,2016-02-29 11:02:00,11,0,2,0,2,2,2
Opened by  301,Phone,Location 204,Category 42,Subcategory 106,Symptom 242,Group 70,0,2016-02-29 11:06:00,11,0,2,0,1,1,1
Opened by  501,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,Group 23,0,2016-02-29 11:13:00,11,0,2,0,1,1,1
Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 232,Group 70,0,2016-02-29 11:19:00,11,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 23,Subcategory 3,,Group 70,0,2016-02-29 11:23:00,11,0,2,0,2,2,2
Opened by  40,Phone,Location 2,Category 53,Subcategory 271,Symptom 470,Group 70,0,2016-02-29 11:25:00,11,0,2,0,2,2,2
Opened by  301,Phone,Location 55,Category 37,Subcategory 123,,Group 70,1,2016-02-29 11:48:00,11,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 9,Subcategory 164,,Group 70,1,2016-02-29 11:53:00,11,0,2,0,2,2,2
Opened by  40,Phone,Location 40,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 11:56:00,11,0,2,0,2,2,2
Opened by  131,Phone,Location 143,Category 61,Subcategory 16,Symptom 486,Group 70,1,2016-02-29 11:58:00,11,0,2,0,2,2,2
Opened by  40,Phone,Location 40,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 12:01:00,12,0,2,0,2,2,2
Opened by  301,Phone,Location 70,Category 26,Subcategory 175,,Group 27,0,2016-02-29 12:11:00,12,0,2,0,2,2,2
Opened by  55,Phone,Location 161,Category 55,Subcategory 270,Symptom 6,Group 34,1,2016-02-29 12:14:00,12,0,2,0,2,2,2
Opened by  501,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,Group 12,1,2016-02-29 12:20:00,12,0,2,0,1,1,1
Opened by  131,Phone,Location 108,Category 45,Subcategory 223,Symptom 470,Group 70,0,2016-02-29 12:26:00,12,0,2,0,2,2,2
Opened by  62,Phone,Location 108,Category 45,Subcategory 200,Symptom 470,Group 70,0,2016-02-29 12:27:00,12,0,2,0,2,2,2
Opened by  24,Phone,Location 108,Category 20,Subcategory 103,Symptom 592,Group 70,1,2016-02-29 12:41:00,12,0,2,0,2,2,2
Opened by  301,Phone,Location 161,Category 55,Subcategory 167,,Group 65,1,2016-02-29 12:43:00,12,0,2,0,2,2,2
Opened by  55,Phone,Location 143,Category 26,Subcategory 175,,Group 25,1,2016-02-29 12:43:00,12,0,2,0,2,2,2
Opened by  501,Phone,Location 115,Category 37,Subcategory 144,Symptom 580,Group 12,0,2016-02-29 12:48:00,12,0,2,0,2,2,2
Opened by  62,Phone,Location 108,Category 9,Subcategory 164,Symptom 580,Group 70,1,2016-02-29 12:50:00,12,0,2,0,2,2,2
Opened by  257,Phone,Location 51,Category 17,Subcategory 90,Symptom 4,Group 69,0,2016-02-29 12:52:00,12,0,2,0,2,2,2
Opened by  128,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,Group 3,0,2016-02-29 12:54:00,12,0,2,0,3,3,4
Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 12:59:00,12,0,2,0,2,2,2
Opened by  55,Phone,Location 136,Category 20,Subcategory 103,Symptom 6,Group 70,1,2016-02-29 13:14:00,13,0,2,0,2,2,2
Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 13:18:00,13,0,2,0,2,2,2
Opened by  301,Phone,Location 59,Category 9,Subcategory 164,Symptom 470,Group 29,1,2016-02-29 13:24:00,13,0,2,0,2,2,2
Opened by  301,Phone,Location 108,Category 26,Subcategory 175,Symptom 6,Group 70,0,2016-02-29 13:30:00,13,0,2,0,2,2,2
Opened by  221,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,Group 3,1,2016-02-29 13:36:00,13,0,2,0,1,2,1
Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 13:36:00,13,0,2,0,2,2,2
Opened by  433,Phone,Location 51,Category 45,Subcategory 29,,Group 55,0,2016-02-29 13:48:00,13,0,2,0,2,2,2
Opened by  55,Phone,Location 108,Category 20,Subcategory 103,Symptom 116,Group 70,0,2016-02-29 13:50:00,13,0,2,0,2,2,2
Opened by  301,Phone,Location 108,Category 20,Subcategory 125,Symptom 6,Group 70,1,2016-02-29 13:50:00,13,0,2,0,2,2,2
Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,Group 70,0,2016-02-29 13:52:00,13,0,2,0,2,2,2
Opened by  386,Phone,Location 51,Category 42,Subcategory 31,,Group 70,1,2016-02-29 13:54:00,13,0,2,0,2,2,2
Opened by  62,Phone,Location 143,Category 53,Subcategory 13,,Group 28,0,2016-02-29 13:55:00,13,0,2,0,2,2,2
Opened by  55,Phone,Location 136,Category 45,Subcategory 223,,Group 70,0,2016-02-29 13:56:00,13,0,2,0,2,2,2
Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 13:56:00,13,0,2,0,2,2,2
Opened by  301,Phone,Location 204,Category 45,Subcategory 223,Symptom 470,Group 70,0,2016-02-29 13:59:00,13,0,2,0,2,2,2
Opened by  501,Phone,Location 143,Category 20,Subcategory 125,Symptom 580,Group 12,1,2016-02-29 14:04:00,14,0,2,0,1,1,1
Opened by  240,Phone,Location 204,Category 20,Subcategory 125,Symptom 4,Group 23,1,2016-02-29 14:06:00,14,0,2,0,2,2,2
Opened by  221,Phone,Location 93,Category 13,Subcategory 302,Symptom 208,Group 23,0,2016-02-29 14:09:00,14,0,2,0,2,2,2
Opened by  221,Phone,Location 93,Category 13,Subcategory 302,Symptom 208,Group 23,0,2016-02-29 14:15:00,14,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 53,Subcategory 113,,Group 66,0,2016-02-29 14:16:00,14,0,2,0,1,1,1
Opened by  221,Phone,Location 93,Category 42,Subcategory 106,Symptom 4,Group 67,1,2016-02-29 14:22:00,14,0,2,0,2,2,2
Opened by  55,Phone,Location 93,Category 20,Subcategory 103,Symptom 4,Group 70,1,2016-02-29 14:23:00,14,0,2,0,2,2,2
Opened by  325,Phone,Location 143,Category 53,Subcategory 109,Symptom 208,Group 33,0,2016-02-29 14:23:00,14,0,2,0,1,1,1
Opened by  221,Phone,Location 93,Category 53,Subcategory 168,Symptom 4,Group 23,0,2016-02-29 14:25:00,14,0,2,0,2,2,2
Opened by  221,Phone,Location 143,Category 53,Subcategory 168,Symptom 4,Group 70,1,2016-02-29 14:28:00,14,0,2,0,2,2,2
Opened by  62,Phone,Location 143,Category 23,Subcategory 3,Symptom 4,Group 54,0,2016-02-29 14:28:00,14,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 14:30:00,14,0,2,0,1,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 14:33:00,14,0,2,0,1,1,1
Opened by  386,Phone,Location 51,Category 23,Subcategory 3,,Group 30,1,2016-02-29 14:37:00,14,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 14:40:00,14,0,2,0,1,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 14:43:00,14,0,2,0,1,1,1
Opened by  62,Phone,Location 204,Category 37,Subcategory 135,Symptom 509,Group 25,1,2016-02-29 14:44:00,14,0,2,0,2,2,2
Opened by  55,Phone,Location 93,Category 20,Subcategory 103,Symptom 6,Group 70,0,2016-02-29 14:45:00,14,0,2,0,2,2,2
Opened by  381,Phone,Location 93,Category 45,Subcategory 88,Symptom 327,Group 31,0,2016-02-29 14:47:00,14,0,2,0,2,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 14:49:00,14,0,2,0,1,1,1
Opened by  301,Phone,Location 143,Category 42,Subcategory 31,Symptom 17,Group 55,1,2016-02-29 14:50:00,14,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 14:52:00,14,0,2,0,1,1,1
Opened by  55,Phone,Location 212,Category 26,Subcategory 175,Symptom 607,Group 70,1,2016-02-29 14:53:00,14,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 223,,Group 66,0,2016-02-29 14:56:00,14,0,2,0,1,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 15:03:00,15,0,2,0,1,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 15:07:00,15,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 15:10:00,15,0,2,0,1,1,1
Opened by  386,Phone,Location 51,Category 26,Subcategory 164,,Group 23,0,2016-02-29 15:12:00,15,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 15:13:00,15,0,2,0,1,1,1
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 314,Group 31,0,2016-02-29 15:14:00,15,0,2,0,2,1,1
Opened by  301,Phone,Location 93,Category 24,Subcategory 164,Symptom 6,,1,2016-02-29 15:17:00,15,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 223,,Group 66,0,2016-02-29 15:17:00,15,0,2,0,2,2,2
Opened by  386,Phone,Location 51,Category 61,Subcategory 164,,Group 30,0,2016-02-29 15:21:00,15,0,2,0,2,2,2
Opened by  381,Phone,Location 224,Category 45,Subcategory 88,Symptom 270,Group 31,0,2016-02-29 15:22:00,15,0,2,0,2,1,1
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 15:24:00,15,0,2,0,1,1,1
Opened by  55,Phone,Location 36,Category 32,Subcategory 9,Symptom 6,Group 70,0,2016-02-29 15:27:00,15,0,2,0,2,2,2
Opened by  386,Phone,Location 51,Category 9,Subcategory 164,,Group 70,0,2016-02-29 15:27:00,15,0,2,0,2,2,2
Opened by  221,Phone,Location 51,Category 61,Subcategory 16,Symptom 4,Group 30,0,2016-02-29 15:30:00,15,0,2,0,2,2,2
Opened by  301,Phone,Location 136,Category 53,Subcategory 303,Symptom 382,Group 70,1,2016-02-29 15:32:00,15,0,2,0,2,2,2
Opened by  386,Phone,Location 51,Category 23,Subcategory 3,,Group 70,0,2016-02-29 15:34:00,15,0,2,0,2,2,2
Opened by  185,Phone,,,,,,0,2016-02-29 15:36:00,15,0,2,0,1,2,1
Opened by  381,Phone,Location 204,,,,Group 31,0,2016-02-29 15:37:00,15,0,2,0,2,1,1
Opened by  386,Phone,Location 51,,,,Group 53,1,2016-02-29 15:38:00,15,0,2,0,2,2,2
Opened by  381,Phone,Location 245,Category 45,Subcategory 88,Symptom 312,Group 31,0,2016-02-29 15:45:00,15,0,2,0,2,1,1
Opened by  55,Phone,Location 141,Category 43,Subcategory 107,Symptom 218,Group 39,0,2016-02-29 15:48:00,15,0,2,0,2,2,2
Opened by  386,Phone,Location 51,Category 37,Subcategory 135,Symptom 84,Group 30,0,2016-02-29 15:53:00,15,0,2,0,3,3,4
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 324,Group 31,0,2016-02-29 15:53:00,15,0,2,0,2,1,1
Opened by  221,Phone,Location 36,Category 20,Subcategory 103,Symptom 605,Group 29,0,2016-02-29 15:54:00,15,0,2,0,2,2,2
Opened by  325,Phone,Location 232,Category 8,Subcategory 156,Symptom 107,Group 33,0,2016-02-29 15:55:00,15,0,2,0,1,1,1
Opened by  386,Phone,Location 51,Category 32,Subcategory 9,,Group 70,0,2016-02-29 15:59:00,15,0,2,0,2,2,2
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 312,Group 31,0,2016-02-29 16:09:00,16,0,2,0,2,1,1
Opened by  55,Phone,Location 51,Category 61,Subcategory 16,Symptom 6,Group 72,1,2016-02-29 16:15:00,16,0,2,0,2,2,2
Opened by  221,Phone,Location 93,Category 26,Subcategory 175,Symptom 208,Group 23,0,2016-02-29 16:18:00,16,0,2,0,1,2,1
Opened by  381,Phone,Location 204,Category 45,Subcategory 47,Symptom 312,Group 31,0,2016-02-29 16:23:00,16,0,2,0,2,2,2
Opened by  191,Phone,Location 197,Category 8,Subcategory 156,Symptom 4,Group 56,0,2016-02-29 16:25:00,16,0,2,0,2,2,2
Opened by  386,Phone,Location 143,Category 43,Subcategory 107,,Group 70,0,2016-02-29 16:30:00,16,0,2,0,2,2,2
Opened by  221,Phone,Location 161,Category 53,Subcategory 127,Symptom 605,Group 76,0,2016-02-29 16:31:00,16,0,2,0,2,2,2
Opened by  55,Phone,Location 93,Category 24,Subcategory 164,,Group 23,0,2016-02-29 16:38:00,16,0,2,0,2,2,2
Opened by  221,Phone,Location 204,Category 45,Subcategory 94,Symptom 208,Group 33,0,2016-02-29 16:43:00,16,0,2,0,2,2,2
Opened by  55,Phone,Location 143,Category 9,Subcategory 164,Symptom 6,Group 28,0,2016-02-29 16:51:00,16,0,2,0,2,2,2
Opened by  386,Phone,Location 93,Category 45,Subcategory 150,,Group 12,1,2016-02-29 16:54:00,16,0,2,0,2,2,2
Opened by  59,Phone,Location 93,Category 24,Subcategory 164,,Group 23,1,2016-02-29 17:06:00,17,0,2,0,2,2,2
Opened by  191,Phone,Location 197,Category 40,Subcategory 44,Symptom 4,Group 54,1,2016-02-29 17:11:00,17,0,2,0,2,2,2
Opened by  221,Phone,Location 51,Category 45,Subcategory 200,Symptom 4,Group 39,0,2016-02-29 17:14:00,17,0,2,0,2,2,2
Opened by  386,Phone,Location 161,Category 9,Subcategory 164,,Group 70,0,2016-02-29 17:27:00,17,0,2,0,2,2,2
Opened by  221,Phone,Location 204,Category 45,Subcategory 150,Symptom 208,Group 55,1,2016-02-29 17:32:00,17,0,2,0,2,2,2
Opened by  55,Phone,Location 93,Category 24,Subcategory 164,Symptom 571,Group 23,0,2016-02-29 17:38:00,17,0,2,0,2,2,2
Opened by  386,Phone,Location 161,Category 40,Subcategory 215,,Group 70,1,2016-02-29 17:48:00,17,0,2,0,2,2,2
Opened by  386,Phone,Location 51,Category 34,Subcategory 162,,Group 30,0,2016-02-29 17:53:00,17,0,2,0,2,2,2
Opened by  221,Phone,Location 204,Category 55,Subcategory 185,Symptom 530,Group 25,0,2016-02-29 18:35:00,18,0,2,0,2,2,2
Opened by  239,Phone,Location 204,Category 53,Subcategory 303,,Group 25,0,2016-02-29 18:36:00,18,0,2,0,2,2,2
Opened by  305,Phone,Location 108,Category 55,Subcategory 170,,Group 65,0,2016-02-29 19:41:00,19,0,2,0,2,2,2
Opened by  305,Phone,Location 143,Category 19,Subcategory 289,Symptom 117,Group 61,0,2016-02-29 20:32:00,20,0,2,0,3,3,4
Opened by  305,Phone,Location 161,Category 9,Subcategory 164,,Group 24,0,2016-02-29 21:00:00,21,0,2,0,2,2,2
